pto. sup. terrestre,Fecha/Date,Pais/Country,Lugar/Place,Coordenadas del centro de la imagen/Center cordinates,Orientation,Observaciones/comments,Enlace a la ficha/Link,Enlace  a la imagen/Image,Autor/Author of clasification,Calidad/Cuality,Focal/ Focal Length,Cámara/ Model,T. Exposición/ Shutter,Apertura/ Aperture,ISO,Clasificada(1)/ No Clasificada(0),Other links(twitter and other),Similar images,Tilt
,2011:02:13 20:55:54,SICILY,PANTELLERIA ISLAND AT NIGHT,"36.7, 12.0",Nadir: suroeste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26935,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26935.JPG,"Alex, Marian",,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,,
,2011:02:13 20:56:01,SICILY,PALERMO AT NIGHT,"38.0, 13.4",Nadir: noroeste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26937,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26937.JPG,"Alex, Marian",,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,26937 - 	26939 	26946 - 	26952,
,2011:02:13 20:56:07,SICILY,PALERMO AT NIGHT,"38.0, 13.0",Nadir: norte,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26940,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26940.JPG,"Alex, Marian",,80 mm,NIKON D3S,0.066666666666667,4,12800,1,,	26940 - 	26945,
,2011:02:13 20:56:35,SICILY,CATANIA AT NIGHT,"38.8, 14.8",Nadir: sur,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26953,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26953.JPG,"Alex, Marian",,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,	26953 - 	26961,
,2011:02:13 20:56:57,ITALY,STRAIT OF MESSINA AT NIGHT,"39.6 , 16.1",Nadir: sur,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-26962,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26962.jpg,"Alex, Marian",,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,	26962 - 26964,28
,2011:02:13 20:57:10,ITALY,NAPLES TO ROME AT NIGHT,"40.1 , 17.0",Nadir: oeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-26965,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26965.jpg,Alex,,80 mm,NIKON D3S,0.066666666666667,4,12800,1,,	26965 - 	26967,
,2011:02:13 20:57:19,ITALY,"PESCARA AT NIGHT, COAST","40.5 , 17.6",Nadir: noroeste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=26968,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26968.JPG,Alex,,80 mm,NIKON D3S,0.066666666666667,4,12800,1,,	26968 - 	26970,
,2011:02:13 20:57:36,ITALY,BARI AT NIGHT,"41.4 , 16.9",Nadir: Oeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-26971,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-26971.jpg,Alex,,200 mm,NIKON D3S,0.066666666666667,4,12800,1,,,
,2011:02:14 09:26:16,USA,Detroit,"42.480,        -83.112",arriba: norte,buena en el centro de la imagen,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS026-E-27016,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-27016.jpg,"Marian, Guillermo",Buena,80 mm,NIKON D3S,0.066666666666667,4,12800,0,,,
,2011:02:14 09:26:22,USA,"Cleveland, Ohio","41.667, -81.873",norte arriba,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS026&roll=E&frame=27017,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS026/ISS026-E-27017.JPG,"Alex, Marian",,80 mm,NIKON D3S,0.066666666666667,4,12800,0,,,
